Geography,Geographic Area Name,POV_kids5years%,POV_Fem_NoSpouse%,AgeAbove65%,HealthIns65%,NoVeh%,Fem_NoSpouse%,AgeUnder5%,POV_Income12m%,Language_NoEnglish%,Disability%,RenterOccupied5+%,No_School%,NoComp_NoInt%,Pop_Den,UnemployedCiv%,MobileHome%,BlackPop%,RenterOccupied%,HispanicPOP%,Household_Size_avg
1500000US120860001071,Block Group 1; Census Tract 1.07; Miami-Dade County; Florida,0.00,0.00,28.54,1.24,5.94,24.83,2.85,5.59,0.00,31.27,8.42,0.00,0.00,3374.42,0.00,0.00,2.47,54.21,28.16,2.6
1500000US120860001251,Block Group 1; Census Tract 1.25; Miami-Dade County; Florida,0.00,0.00,31.40,0.00,4.64,0.00,8.24,4.70,0.62,2.56,17.50,0.48,12.38,10889.50,3.56,0.00,0.00,42.02,53.45,2.24
1500000US120860001252,Block Group 2; Census Tract 1.25; Miami-Dade County; Florida,0.00,0.00,1.81,0.00,3.22,33.59,0.00,0.00,0.00,3.91,0.00,0.00,0.00,3714.82,0.00,0.00,6.16,100.00,54.53,1.77
1500000US120860001253,Block Group 3; Census Tract 1.25; Miami-Dade County; Florida,0.00,0.00,28.97,0.00,11.11,6.99,19.25,11.19,0.00,20.87,0.00,0.00,8.44,17012.08,0.00,0.00,0.00,21.33,33.73,2.24
1500000US120860001254,Block Group 4; Census Tract 1.25; Miami-Dade County; Florida,0.00,0.00,26.89,0.80,13.79,7.65,6.98,2.19,1.99,24.11,0.00,0.58,30.49,24432.25,1.96,0.00,0.00,36.12,38.81,2.5
1500000US120860001261,Block Group 1; Census Tract 1.26; Miami-Dade County; Florida,0.00,0.00,26.69,0.00,0.00,0.00,0.00,43.69,0.00,68.42,0.00,0.00,0.00,683.36,0.36,0.00,0.00,0.00,19.22,2.73
1500000US120860001262,Block Group 2; Census Tract 1.26; Miami-Dade County; Florida,0.00,0.00,72.09,0.00,30.57,0.00,3.14,24.32,18.51,31.13,0.00,8.52,23.77,13399.03,1.23,0.00,0.00,33.21,27.80,1.68
1500000US120860001263,Block Group 3; Census Tract 1.26; Miami-Dade County; Florida,0.00,7.34,25.59,0.00,6.94,40.15,0.00,7.34,0.00,7.02,0.00,0.00,4.31,7035.42,0.00,0.67,0.62,73.68,78.26,1.93
1500000US120860001271,Block Group 1; Census Tract 1.27; Miami-Dade County; Florida,0.00,0.00,15.80,0.00,4.59,30.32,3.90,7.34,2.13,12.00,1.02,0.00,4.08,3917.43,1.30,0.00,0.00,41.20,52.23,2.06
1500000US120860001272,Block Group 2; Census Tract 1.27; Miami-Dade County; Florida,0.00,0.00,47.59,0.00,13.09,11.54,0.00,5.50,8.29,23.52,0.00,0.75,25.13,3612.22,2.04,0.00,11.36,16.75,35.16,1.63
1500000US120860001281,Block Group 1; Census Tract 1.28; Miami-Dade County; Florida,0.00,0.00,28.94,0.00,9.17,19.05,0.00,0.00,0.00,14.68,0.00,1.70,0.00,667.66,0.00,0.00,0.00,26.67,49.36,1.96
1500000US120860001282,Block Group 2; Census Tract 1.28; Miami-Dade County; Florida,5.43,6.03,13.21,1.90,2.45,56.71,3.99,6.03,1.75,32.48,0.00,2.80,9.25,3690.91,5.28,0.00,19.72,35.34,65.02,2.35
1500000US120860001283,Block Group 3; Census Tract 1.28; Miami-Dade County; Florida,0.00,0.00,12.47,0.00,11.29,12.91,5.75,0.00,0.00,12.66,6.34,1.16,4.41,1624.17,2.65,0.00,18.73,47.38,50.19,2.13
1500000US120860001291,Block Group 1; Census Tract 1.29; Miami-Dade County; Florida,0.00,0.00,77.87,0.00,5.78,0.00,4.48,0.00,0.00,42.47,0.00,0.00,5.20,6683.64,4.48,0.00,0.00,0.00,32.21,2.06
1500000US120860001292,Block Group 2; Census Tract 1.29; Miami-Dade County; Florida,0.00,0.00,45.32,0.00,20.74,4.41,0.00,0.00,0.00,15.69,0.00,0.00,9.84,6909.21,1.80,0.00,0.00,25.00,11.43,2.07
1500000US120860001293,Block Group 3; Census Tract 1.29; Miami-Dade County; Florida,0.00,2.62,48.58,0.00,2.59,13.70,9.11,6.12,0.00,24.43,0.00,0.00,14.94,1334.23,1.04,0.00,0.00,17.93,37.95,2.1
1500000US120860001301,Block Group 1; Census Tract 1.30; Miami-Dade County; Florida,0.00,0.00,54.37,0.00,4.14,0.00,4.10,18.09,0.00,0.00,0.00,5.19,4.14,10400.98,0.00,2.43,3.83,0.00,34.70,2.17
1500000US120860001302,Block Group 2; Census Tract 1.30; Miami-Dade County; Florida,0.00,0.00,17.73,0.00,0.00,0.00,9.19,0.00,0.00,4.72,0.00,10.92,5.40,597.85,1.51,0.00,0.00,54.29,59.35,2.94
1500000US120860001303,Block Group 3; Census Tract 1.30; Miami-Dade County; Florida,0.00,0.00,89.61,0.00,6.09,0.00,0.00,0.00,0.00,33.12,0.00,0.00,7.11,5399.23,0.00,0.00,0.00,12.18,15.05,1.42
1500000US120860001304,Block Group 4; Census Tract 1.30; Miami-Dade County; Florida,0.00,0.00,31.66,0.00,5.29,19.32,0.00,21.59,1.32,20.95,0.00,0.00,30.16,8157.73,3.14,0.00,5.33,29.10,42.01,1.69
1500000US120860001305,Block Group 5; Census Tract 1.30; Miami-Dade County; Florida,0.00,0.00,33.99,0.00,9.45,8.80,0.00,0.00,2.15,16.56,4.73,0.00,18.16,732.81,0.00,0.00,0.00,33.83,41.53,2.01
1500000US120860001311,Block Group 1; Census Tract 1.31; Miami-Dade County; Florida,0.00,0.00,17.93,1.02,0.00,0.00,4.91,26.63,0.00,4.48,0.00,0.00,14.77,8863.19,5.73,0.00,1.91,54.41,50.58,2.35
1500000US120860001312,Block Group 2; Census Tract 1.31; Miami-Dade County; Florida,0.00,0.00,0.00,0.00,0.00,0.00,4.92,6.70,1.82,3.04,0.00,0.00,17.36,6862.07,3.99,0.00,0.00,38.91,28.59,2.42
1500000US120860001313,Block Group 3; Census Tract 1.31; Miami-Dade County; Florida,0.00,2.60,23.99,0.00,8.76,10.08,4.34,5.04,1.67,40.16,0.79,0.54,10.73,9248.39,0.91,3.49,1.20,25.00,27.79,2.34
1500000US120860001321,Block Group 1; Census Tract 1.32; Miami-Dade County; Florida,0.00,0.00,68.97,0.00,32.02,34.31,2.35,10.04,6.32,53.42,0.00,3.53,38.63,4333.96,0.00,0.00,5.52,21.60,69.04,1.73
1500000US120860001322,Block Group 2; Census Tract 1.32; Miami-Dade County; Florida,0.00,0.00,0.00,0.00,42.81,0.00,0.00,0.00,16.40,39.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
1500000US120860001323,Block Group 3; Census Tract 1.32; Miami-Dade County; Florida,0.00,28.74,36.87,0.00,13.83,46.74,0.00,28.74,0.00,18.51,0.00,0.00,11.70,7624.52,7.04,0.00,0.00,31.00,53.16,1.71
1500000US120860001324,Block Group 4; Census Tract 1.32; Miami-Dade County; Florida,0.00,0.00,24.51,0.00,10.11,36.99,9.25,0.00,0.00,23.08,0.00,0.00,8.97,8209.79,0.00,0.00,0.00,27.13,23.58,1.99
1500000US120860001325,Block Group 5; Census Tract 1.32; Miami-Dade County; Florida,11.87,0.00,17.18,1.85,2.30,7.32,4.98,11.87,3.96,9.97,0.00,0.00,0.00,10461.00,2.97,0.00,7.05,50.63,39.23,2.06
1500000US120860001341,Block Group 1; Census Tract 1.34; Miami-Dade County; Florida,25.45,30.82,19.41,0.00,22.42,36.92,16.08,30.82,0.66,30.30,0.00,0.39,28.57,714.35,0.00,0.00,19.41,55.17,23.92,1.85
1500000US120860001342,Block Group 2; Census Tract 1.34; Miami-Dade County; Florida,2.77,5.19,24.77,0.00,9.13,27.51,4.07,7.44,2.53,28.07,0.00,3.89,15.21,10927.65,1.74,0.00,1.65,35.36,57.82,2.08
1500000US120860001401,Block Group 1; Census Tract 1.40; Miami-Dade County; Florida,1.61,0.00,5.33,0.00,3.30,52.82,2.93,10.95,0.00,3.02,0.00,1.04,10.23,12646.48,4.17,0.00,1.66,78.58,77.03,2.25
1500000US120860001402,Block Group 2; Census Tract 1.40; Miami-Dade County; Florida,0.00,4.22,4.14,0.00,10.08,43.30,4.24,4.22,4.68,1.89,0.00,0.00,14.29,9212.11,2.07,0.00,3.39,61.35,37.76,2.23
1500000US120860001411,Block Group 1; Census Tract 1.41; Miami-Dade County; Florida,0.00,0.00,10.69,0.00,16.48,14.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2231.15,3.35,0.00,0.00,100.00,50.88,2.3
1500000US120860001412,Block Group 2; Census Tract 1.41; Miami-Dade County; Florida,0.00,41.38,8.60,0.00,0.00,41.38,7.53,60.92,8.46,9.62,0.00,4.57,0.00,1108.49,8.60,0.00,0.00,51.72,55.38,2.14
1500000US120860001413,Block Group 3; Census Tract 1.41; Miami-Dade County; Florida,0.00,0.00,18.19,2.19,12.82,19.93,9.30,0.00,2.28,0.00,0.00,0.00,39.60,3894.55,0.00,0.00,3.15,79.77,70.59,2.08
1500000US120860001421,Block Group 1; Census Tract 1.42; Miami-Dade County; Florida,0.00,0.00,29.18,0.00,8.74,24.73,2.21,3.99,1.84,10.26,0.00,0.00,7.62,6868.79,0.00,0.00,0.00,32.34,64.21,2.19
1500000US120860001422,Block Group 2; Census Tract 1.42; Miami-Dade County; Florida,0.00,0.00,43.32,0.00,16.25,0.00,2.57,11.85,10.99,28.16,4.78,1.46,11.28,23775.60,4.62,0.00,3.43,19.50,27.48,2.23
1500000US120860001423,Block Group 3; Census Tract 1.42; Miami-Dade County; Florida,0.00,26.80,30.50,0.00,12.66,34.71,0.00,32.99,3.45,8.78,0.00,0.00,7.44,14567.91,2.32,0.00,1.93,34.49,61.16,2.05
1500000US120860001424,Block Group 4; Census Tract 1.42; Miami-Dade County; Florida,0.00,0.00,22.36,2.73,17.05,6.76,7.81,6.49,6.20,13.28,0.00,2.73,3.95,12535.50,2.15,0.00,0.00,43.66,42.19,2.13
1500000US120860001431,Block Group 1; Census Tract 1.43; Miami-Dade County; Florida,0.00,0.00,18.35,0.00,0.00,12.47,0.00,8.47,2.28,14.33,0.00,0.00,1.85,23805.37,1.53,1.45,0.80,30.34,66.44,2.14
1500000US120860001432,Block Group 2; Census Tract 1.43; Miami-Dade County; Florida,0.00,0.00,35.30,0.00,16.34,21.33,0.00,5.69,7.51,14.05,0.00,9.96,49.01,2232.05,0.00,0.00,0.00,32.89,72.20,1.79
1500000US120860001433,Block Group 3; Census Tract 1.43; Miami-Dade County; Florida,0.00,0.00,36.06,0.00,38.66,16.25,2.61,0.00,0.00,21.63,1.23,0.00,8.96,5393.68,0.00,0.00,0.00,61.34,46.50,1.47
1500000US120860001441,Block Group 1; Census Tract 1.44; Miami-Dade County; Florida,0.00,0.77,11.60,0.00,0.00,44.44,7.42,0.77,0.00,0.00,0.55,0.00,4.95,9135.11,3.59,0.00,0.84,21.70,62.68,2.3
1500000US120860001442,Block Group 2; Census Tract 1.44; Miami-Dade County; Florida,0.00,0.00,12.47,0.00,7.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.48,529.26,3.38,0.00,4.68,100.00,43.90,1.7
1500000US120860001451,Block Group 1; Census Tract 1.45; Miami-Dade County; Florida,0.00,0.00,8.33,0.00,1.23,4.88,1.49,0.00,0.00,12.90,2.46,0.84,0.00,2041.18,2.91,0.00,0.00,5.67,34.28,3.82
1500000US120860001452,Block Group 2; Census Tract 1.45; Miami-Dade County; Florida,0.00,0.00,8.81,0.00,0.00,0.00,1.36,6.55,0.00,40.51,0.00,0.00,1.25,11258.15,0.00,0.00,0.00,4.23,65.46,2.54
1500000US120860001461,Block Group 1; Census Tract 1.46; Miami-Dade County; Florida,2.08,2.60,40.36,0.00,0.00,4.68,8.49,9.61,0.00,14.03,0.00,0.00,6.13,25865.76,3.31,0.00,0.00,46.34,49.86,2.08
1500000US120860001462,Block Group 2; Census Tract 1.46; Miami-Dade County; Florida,0.00,0.00,22.44,0.00,0.00,8.16,8.79,0.00,0.00,6.12,7.73,1.31,2.46,7511.74,8.37,0.00,0.00,31.63,8.89,3.36
1500000US120860001463,Block Group 3; Census Tract 1.46; Miami-Dade County; Florida,0.00,0.00,52.79,0.00,6.48,10.97,0.00,0.00,0.00,28.67,0.00,0.00,0.00,4061.95,0.00,0.00,0.00,17.75,29.48,1.71
1500000US120860001464,Block Group 4; Census Tract 1.46; Miami-Dade County; Florida,0.00,0.00,44.49,0.00,0.00,0.00,5.65,0.00,0.00,12.34,0.00,0.00,0.00,4800.57,1.93,0.00,0.00,0.00,11.71,2.47
1500000US120860002041,Block Group 1; Census Tract 2.04; Miami-Dade County; Florida,0.00,6.68,12.32,0.00,7.41,33.42,8.21,24.51,2.76,20.86,11.57,3.46,24.59,2921.04,0.00,0.00,59.84,44.85,24.89,3.61
1500000US120860002042,Block Group 2; Census Tract 2.04; Miami-Dade County; Florida,10.65,0.00,19.47,1.63,2.53,20.47,9.21,10.65,2.66,25.77,0.00,2.62,4.74,1891.11,2.26,4.72,53.88,11.85,29.49,3.5
1500000US120860002043,Block Group 3; Census Tract 2.04; Miami-Dade County; Florida,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
1500000US120860002061,Block Group 1; Census Tract 2.06; Miami-Dade County; Florida,6.21,0.00,11.11,0.00,21.58,36.12,7.52,14.56,2.55,14.81,4.17,2.10,35.57,1897.09,2.60,0.00,57.88,83.93,30.85,2.69
1500000US120860002062,Block Group 2; Census Tract 2.06; Miami-Dade County; Florida,0.00,10.90,17.92,0.00,14.91,22.82,8.52,15.99,12.46,36.13,7.90,4.69,28.70,3398.03,1.04,0.00,73.83,26.69,22.85,4.22
1500000US120860002063,Block Group 3; Census Tract 2.06; Miami-Dade County; Florida,0.00,8.73,15.44,0.00,3.36,25.63,0.58,32.68,3.28,34.58,14.15,6.85,15.11,2780.91,0.00,0.00,73.42,46.04,21.05,3.28
1500000US120860002111,Block Group 1; Census Tract 2.11; Miami-Dade County; Florida,2.51,9.34,14.53,0.00,7.34,40.09,4.38,14.81,2.04,19.22,2.45,2.63,14.31,2860.54,5.01,1.13,3.19,34.46,73.64,3
1500000US120860002112,Block Group 2; Census Tract 2.11; Miami-Dade County; Florida,0.00,3.83,14.88,0.45,10.16,45.05,1.34,7.35,1.50,25.30,4.06,2.32,12.87,1018.81,2.41,0.00,28.34,47.63,50.45,2.53
1500000US120860002121,Block Group 1; Census Tract 2.12; Miami-Dade County; Florida,0.00,0.00,20.65,0.00,20.79,4.67,8.51,12.67,0.00,5.26,6.45,3.44,56.99,4965.77,7.43,0.00,55.98,97.85,35.87,1.98
1500000US120860002122,Block Group 2; Census Tract 2.12; Miami-Dade County; Florida,0.00,0.00,8.47,0.00,10.07,34.11,11.65,11.02,4.82,15.27,5.37,1.74,30.60,8522.45,1.74,0.00,37.95,90.74,47.56,2.6
1500000US120860002123,Block Group 3; Census Tract 2.12; Miami-Dade County; Florida,0.00,24.34,16.22,0.00,4.76,25.66,6.02,42.76,0.00,7.80,5.26,0.00,13.28,15241.19,4.63,0.00,50.79,85.97,37.81,2.56
1500000US120860002124,Block Group 4; Census Tract 2.12; Miami-Dade County; Florida,0.00,12.45,6.79,0.00,20.48,65.24,4.45,12.45,5.77,18.31,0.00,2.76,31.92,4425.65,11.45,0.00,30.54,89.63,57.05,2.41
1500000US120860002131,Block Group 1; Census Tract 2.13; Miami-Dade County; Florida,0.00,0.00,9.56,0.00,11.00,11.92,14.64,12.34,4.16,31.84,20.39,0.00,33.98,2716.34,9.04,0.00,47.20,67.31,7.54,4.33
1500000US120860002132,Block Group 2; Census Tract 2.13; Miami-Dade County; Florida,0.00,2.95,15.41,0.00,0.00,35.87,4.15,2.95,2.96,28.22,6.22,1.40,5.02,2084.51,2.34,0.00,66.61,21.53,6.60,4.09
1500000US120860002133,Block Group 3; Census Tract 2.13; Miami-Dade County; Florida,0.00,0.00,13.45,0.86,13.13,17.50,15.78,0.00,1.11,16.67,5.59,1.95,23.52,7755.76,1.21,0.00,44.97,60.50,27.01,2.92
1500000US120860002151,Block Group 1; Census Tract 2.15; Miami-Dade County; Florida,0.00,0.00,7.51,0.00,0.00,28.83,1.65,0.00,1.35,42.25,6.31,0.60,9.37,6064.99,9.01,0.00,76.57,20.37,18.63,4.07
1500000US120860002152,Block Group 2; Census Tract 2.15; Miami-Dade County; Florida,2.75,10.58,15.58,0.55,8.24,29.26,6.32,19.23,4.02,13.19,9.12,3.60,16.74,5213.27,4.94,0.00,92.02,74.32,3.69,3.16
1500000US120860002161,Block Group 1; Census Tract 2.16; Miami-Dade County; Florida,0.00,0.00,20.67,0.00,9.56,19.55,3.87,0.00,0.00,10.98,5.46,6.13,13.66,3599.35,0.00,0.00,79.16,33.33,22.19,3.25
1500000US120860002162,Block Group 2; Census Tract 2.16; Miami-Dade County; Florida,0.00,0.00,6.12,0.00,8.03,33.82,4.30,0.00,1.90,8.26,4.42,2.40,29.32,4160.85,3.28,0.00,71.52,49.80,19.16,5.51
1500000US120860002163,Block Group 3; Census Tract 2.16; Miami-Dade County; Florida,0.00,4.55,18.92,0.00,10.82,35.54,0.00,10.54,1.49,30.50,0.00,6.08,17.47,4048.28,2.78,0.00,82.51,25.29,11.55,3.59
1500000US120860002181,Block Group 1; Census Tract 2.18; Miami-Dade County; Florida,0.00,11.93,16.61,0.00,15.16,30.04,4.86,30.04,2.77,22.92,5.16,10.09,20.32,3433.85,11.65,1.57,46.33,32.58,49.45,3.52
1500000US120860002182,Block Group 2; Census Tract 2.18; Miami-Dade County; Florida,3.87,23.23,17.68,1.11,14.85,53.12,8.11,27.31,4.55,17.49,3.93,6.94,23.00,3039.90,3.60,2.63,86.88,43.52,11.70,2.87
1500000US120860002191,Block Group 1; Census Tract 2.19; Miami-Dade County; Florida,0.00,0.00,5.77,0.00,11.94,8.62,10.42,7.47,10.37,4.46,0.00,0.96,24.88,1909.75,4.81,13.22,64.26,63.68,32.85,3.06
1500000US120860002192,Block Group 2; Census Tract 2.19; Miami-Dade County; Florida,4.25,11.25,7.76,1.55,10.21,35.46,12.07,14.23,9.61,13.52,15.40,3.44,23.83,6386.44,1.94,5.67,71.79,91.25,23.32,3.33
1500000US120860002193,Block Group 3; Census Tract 2.19; Miami-Dade County; Florida,6.21,6.21,25.92,0.00,0.00,12.42,13.42,6.21,4.81,20.58,0.00,1.84,23.08,3109.10,0.69,0.00,48.62,60.26,17.55,2.82
1500000US120860002194,Block Group 4; Census Tract 2.19; Miami-Dade County; Florida,0.00,8.36,11.45,0.00,19.40,26.63,12.23,16.41,1.46,11.67,12.17,3.56,25.22,4320.38,2.13,0.00,35.14,84.13,57.33,2.48
1500000US120860002201,Block Group 1; Census Tract 2.20; Miami-Dade County; Florida,0.00,21.63,12.31,0.00,17.75,48.96,0.00,56.40,7.59,21.00,22.98,5.83,50.26,4708.69,4.93,0.00,91.59,90.21,13.81,3.02
1500000US120860002202,Block Group 2; Census Tract 2.20; Miami-Dade County; Florida,0.67,0.67,8.98,0.23,8.22,9.06,10.23,5.03,0.96,30.71,3.85,11.17,14.91,3818.90,1.28,0.00,64.10,50.10,28.49,3.16
1500000US120860002211,Block Group 1; Census Tract 2.21; Miami-Dade County; Florida,0.00,9.18,13.91,0.00,0.00,33.23,12.99,9.18,2.00,21.04,10.27,0.92,18.43,3920.29,3.82,0.00,44.36,53.17,44.30,4.26
1500000US120860002212,Block Group 2; Census Tract 2.21; Miami-Dade County; Florida,0.00,0.00,11.37,0.00,0.00,0.00,1.11,6.25,8.06,12.80,0.00,4.42,3.82,1672.11,15.48,0.00,1.58,37.41,66.51,2.42
1500000US120860002221,Block Group 1; Census Tract 2.22; Miami-Dade County; Florida,0.00,0.00,12.00,0.00,0.00,8.64,4.39,0.00,8.67,36.94,0.00,1.72,3.18,2875.53,0.00,0.00,45.66,43.46,65.17,3.3
1500000US120860002222,Block Group 2; Census Tract 2.22; Miami-Dade County; Florida,0.00,17.15,8.97,0.00,6.89,26.45,3.65,19.77,0.52,15.55,5.02,4.53,28.12,4311.74,2.64,0.00,31.48,45.34,44.85,3.1
1500000US120860002223,Block Group 3; Census Tract 2.22; Miami-Dade County; Florida,5.15,5.15,25.58,0.00,5.88,8.46,4.65,5.15,5.95,26.24,0.00,0.00,17.87,1642.64,4.75,0.00,8.14,13.35,76.26,2.33
1500000US120860002231,Block Group 1; Census Tract 2.23; Miami-Dade County; Florida,0.00,0.00,21.38,0.00,14.09,31.66,0.00,0.00,0.00,46.15,0.00,0.22,73.54,3816.35,0.00,0.00,68.25,41.24,12.42,2.47
1500000US120860002232,Block Group 2; Census Tract 2.23; Miami-Dade County; Florida,0.00,0.00,14.57,0.00,6.92,53.18,6.68,0.00,10.80,17.33,0.00,0.00,48.44,8270.89,6.37,0.00,67.07,80.62,26.25,2.28
1500000US120860002233,Block Group 3; Census Tract 2.23; Miami-Dade County; Florida,23.01,0.00,0.00,0.00,0.00,35.40,7.57,23.01,5.79,8.06,0.00,0.00,0.00,4342.01,6.53,0.00,58.49,100.00,41.51,2.95
